route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
1545,4,華富(南),中環,CTB-4-I,中環,黃竹坑／華富 (南),swapped,0.500,1.000,0.750,
1550,47P,堅尼地城 (卑路乍灣),黃竹坑,CTB-47P-O,堅尼地城,黃竹坑,forward,0.500,1.000,0.750,
1605,73,數碼港,赤柱市場,CTB-73-I,赤柱市場,數碼港／華富 (北),swapped,0.500,1.000,0.750,
1610,78,黃竹坑,華貴邨(循環線),CTB-78-I,華貴邨,黃竹坑,swapped,1.000,0.500,0.750,
1611,780,柴灣(東),中環(中環渡輪碼頭),CTB-780-I,中環碼頭,柴灣 (東),swapped,1.000,0.500,0.750,
1631,85,小西灣(藍灣半島),寶馬山(循環線),CTB-85-I,寶馬山／北角,小西灣 (藍灣半島),swapped,1.000,0.500,0.750,
1650,94A,華富(中),利東邨(循環線),CTB-94A-I,利東邨,華富 (中),swapped,1.000,0.500,0.750,
1741,14,嘉亨灣,赤柱砲台 (閘口)(經赤柱村),CTB-14-I,赤柱炮台 (閘口)／馬坑,嘉亨灣,swapped,1.000,0.500,0.750,
1786,93,鴨脷洲邨,羅便臣道,CTB-93-O,海怡半島／鴨脷洲邨,羅便臣道,forward,0.500,1.000,0.750,
1787,93,海怡半島,羅便臣道,CTB-93-O,海怡半島／鴨脷洲邨,羅便臣道,forward,0.500,1.000,0.750,
8043,77X,華貴邨,西灣河(太康街),CTB-77X-O,華貴邨,西灣河,forward,1.000,0.500,0.750,
8102,99X,海怡半島,西灣河(太康街),CTB-99X-O,海怡半島,西灣河,forward,1.000,0.500,0.750,
8109,6,中環(交易廣場),赤柱市場(不經馬坑),CTB-6-I,赤柱市場,中環 (交易廣場),swapped,1.000,0.500,0.750,
8143,B3M,深圳灣口岸,屯門站(循環線),CTB-B3M-O,深圳灣口岸,屯門站,forward,1.000,0.500,0.750,
8383,82,北角碼頭,小西灣(藍灣半島)(經柴灣東工業區),CTB-82-I,北角碼頭,小西灣 (藍灣半島),forward,1.000,0.500,0.750,
8455,592,海怡半島,銅鑼灣(摩頓台)(經黃竹坑天橋),CTB-592-I,銅鑼灣 (摩頓台),海怡半島,swapped,1.000,0.500,0.750,
8475,969C,天水圍 (美湖居),太古 (康怡廣場),CTB-969C-I,太古 (康怡廣場),天水圍 (天瑞邨),swapped,0.500,1.000,0.750,
8586,6X,赤柱監獄,中環(交易廣場),CTB-6X-I,赤柱市場,中環 (交易廣場),forward,0.500,1.000,0.750,
8580,4,中環,華富(南),CTB-4-I,中環,黃竹坑／華富 (南),forward,1.000,0.500,0.750,
8587,73,華富(北),赤柱市場,CTB-73-I,赤柱市場,數碼港／華富 (北),swapped,0.500,1.000,0.750,
8590,260,赤柱監獄,中環(交易廣場),CTB-260-I,赤柱市場,中環 (交易廣場),forward,0.500,1.000,0.750,
8594,63,赤柱監獄,北角碼頭,CTB-63-I,赤柱市場,北角碼頭,forward,0.500,1.000,0.750,
8596,788,小西灣(藍灣半島),中環(港澳碼頭)(不經富景花園),CTB-788-I,中環 (港澳碼頭),小西灣 (藍灣半島),swapped,1.000,0.500,0.750,
8678,720X,西灣河(嘉亨灣),中環(林士街),CTB-720X-O,嘉亨灣,中環(林士街),forward,0.500,1.000,0.750,
8688,969B,天水圍站,灣仔,CTB-969B-I,灣仔,天水圍市中心,swapped,0.500,1.000,0.750,
8700,X15,中環(中環6號碼頭),山頂,CTB-X15-I,山頂,中環 (天星碼頭),swapped,0.500,1.000,0.750,
8666,E23A,慈雲山(南),機場(地面運輸中心)(經東涌北),CTB-E23A-I,機場 (經東涌北),慈雲山 (南),swapped,1.000,0.500,0.750,
8765,22M,啟德郵輪碼頭,土瓜灣(循環線),CTB-22M-I,土瓜灣,啟德郵輪碼頭,swapped,1.000,0.500,0.750,
8782,702B,白田 (北),海盈邨 (循環線),CTB-702B-I,海盈邨,白田 (北),swapped,1.000,0.500,0.750,
8784,N20,維港灣,啟德 (沐安街),CTB-N20-O,大角咀 (維港灣),啟德 (沐安街),forward,0.500,1.000,0.750,
8792,970X,長沙灣 (甘泉街),香港仔(經華富),CTB-970X-I,長沙灣 (甘泉街),香港仔,forward,1.000,0.500,0.750,
1000082,6X,赤柱炮台,中環 (交易廣場),CTB-6X-I,赤柱市場,中環 (交易廣場),forward,0.500,1.000,0.750,
1000083,4,黃竹坑,中環,CTB-4-I,中環,黃竹坑／華富 (南),swapped,0.500,1.000,0.750,
1000084,4,中環,黃竹坑,CTB-4-I,中環,黃竹坑／華富 (南),forward,1.000,0.500,0.750,
1000205,930X,荃灣 (愉景新城),銅鑼灣 (摩頓台)(不停如心廣場),CTB-930X-I,銅鑼灣 (摩頓台),荃灣 (愉景新城),swapped,1.000,0.500,0.750,
1000276,11,中環碼頭,渣甸山(循環線),CTB-11-I,渣甸山,中環碼頭,swapped,1.000,0.500,0.750,
1000308,22X,維港1號,啟德站 (循環線),CTB-22X-I,啟德站,維港1號,swapped,1.000,0.500,0.750,
1000312,790,清水灣半島,尖沙咀(麼地道),CTB-790-I,尖沙咀(麼地道),清水灣半島 (經:日出康城),swapped,0.500,1.000,0.750,
1000344,20,長沙灣(海達),啟德(沐安街)(不停廣東道),CTB-20-I,長沙灣 (海達),啟德 (沐安街),forward,1.000,0.500,0.750,
1000396,789,小西灣(藍灣半島),金鐘(樂禮街)(不停曉翠街),CTB-789-I,金鐘 (樂禮街),小西灣 (藍灣半島),swapped,1.000,0.500,0.750,
1000594,N8,杏花邨 (城巴創富道車廠),鰂魚涌(循環線),CTB-N8-I,鰂魚涌,杏花邨 (城巴創富道車廠),swapped,1.000,0.500,0.750,
8597,788,中環(港澳碼頭),小西灣(藍灣半島)(不經灣仔碼頭),CTB-788-I,中環 (港澳碼頭),小西灣 (藍灣半島),forward,1.000,0.538,0.769,
1777,720A,嘉亨灣,金鐘 (海富中心),CTB-720A-O,嘉亨灣,金鐘 (海富中心)/ 中環(畢打街),forward,1.000,0.545,0.773,
1000313,795,將軍澳工業邨,長沙灣(海達),CTB-795-I,長沙灣 (海達),將軍澳工業邨 (經:日出康城),swapped,0.545,1.000,0.773,
1000248,962,銅鑼灣(摩頓台),屯門(龍門居)(經掃管笏),CTB-962-I,銅鑼灣 (摩頓台),屯門 (龍門居),forward,1.000,0.556,0.778,
1525,26,勵德邨,荷李活道(循環線),CTB-26-I,荷李活道,勵德邨,swapped,1.000,0.571,0.786,
1619,796S,將軍澳站,牛頭角站(循環線),CTB-796S-I,牛頭角站,將軍澳站,swapped,1.000,0.571,0.786,
1687,722,耀東邨,中環碼頭(循環線),CTB-722-I,中環碼頭,耀東邨,swapped,1.000,0.571,0.786,
1739,6,中環(交易廣場),赤柱市場(經馬坑),CTB-6-I,赤柱市場,中環 (交易廣場),swapped,1.000,0.571,0.786,
8206,682,柴灣(東),烏溪沙站,CTB-682-I,馬鞍山 (烏溪沙站),柴灣 (東),swapped,1.000,0.571,0.786,
8270,7,石排灣,中環碼頭(經華富),CTB-7-I,中環碼頭,石排灣,swapped,1.000,0.571,0.786,
1000304,38,置富花園,北角碼頭(經華富),CTB-38-I,北角碼頭,置富花園,swapped,1.000,0.571,0.786,
1000419,B3,深圳灣口岸,屯門碼頭(停紅橋),CTB-B3-I,深圳灣口岸,屯門碼頭,forward,1.000,0.571,0.786,
1638,90,鴨脷洲邨,中環(交易廣場)(不經利東),CTB-90-I,中環 (交易廣場),鴨脷洲邨,swapped,1.000,0.600,0.800,
1627,81A,柴灣(興華邨),勵德邨,CTB-81A-I,勵德邨,興華邨,swapped,0.600,1.000,0.800,
1646,930,會展站,荃灣(愉景新城),CTB-930-I,會展站,荃灣 (愉景新城／荃灣西站),forward,1.000,0.600,0.800,
8598,788,小西灣(藍灣半島),中環(港澳碼頭)(途經金鐘),CTB-788-I,中環 (港澳碼頭),小西灣 (藍灣半島),swapped,1.000,0.600,0.800,
1000547,85,寶馬山,小西灣(藍灣半島),CTB-85-I,寶馬山／北角,小西灣 (藍灣半島),forward,0.600,1.000,0.800,
1603,720P,太古城,中環(永和街)(循環線),CTB-720P-I,中環 (永和街),太古城,swapped,1.000,0.625,0.813,
1621,798,調景嶺站,火炭 (駿洋邨),CTB-798-I,火炭 (駿洋邨) (經:沙田),調景嶺站,swapped,1.000,0.625,0.813,
1642,90C,鴨脷洲 (鴨脷洲大街),中環 (怡和大廈),CTB-90C-O,鴨脷洲大街,中環 (怡和大廈),forward,0.625,1.000,0.813,
1707,N8P,小西灣(藍灣半島),灣仔(港灣道)(循環線),CTB-N8P-I,灣仔 (港灣道),小西灣 (藍灣半島),swapped,1.000,0.625,0.813,
1000288,798X,火炭 (駿洋邨),將軍澳工業邨,CTB-798X-I,火炭 (駿洋邨) (經:沙田),將軍澳工業邨,forward,0.625,1.000,0.813,
1000374,22D,啟德站,啟德跑道區(循環線),CTB-22D-I,啟德跑道區,啟德站,swapped,1.000,0.625,0.813,
1602,72,華貴,銅鑼灣(摩頓台),CTB-72-I,銅鑼灣 (摩頓台),華貴邨,swapped,0.667,1.000,0.833,
1653,95P,田灣邨,鴨脷洲邨,CTB-95P-O,田灣,鴨脷洲邨,forward,0.667,1.000,0.833,
1657,952,屯門(置樂花園),銅鑼灣(摩頓台),CTB-952-I,銅鑼灣 (摩頓台)／金鐘 (西),屯門 (置樂花園),swapped,1.000,0.667,0.833,
1552,511,大坑徑,中環 (中環碼頭),CTB-511-O,大坑徑,中環碼頭,forward,1.000,0.667,0.833,
1609,77,田灣邨,筲箕灣,CTB-77-I,筲箕灣,田灣,swapped,0.667,1.000,0.833,
1703,N72,華貴,鰂魚涌(海澤街),CTB-N72-I,鰂魚涌 (海澤街),華貴邨,swapped,0.667,1.000,0.833,
1776,720,嘉亨灣,中環 (港澳碼頭),CTB-720-I,中環 (港澳碼頭 / 永和街),嘉亨灣,swapped,1.000,0.667,0.833,
1000199,79X,粉嶺皇后山,長沙灣(甘泉街),CTB-79X-I,長沙灣 (甘泉街) (經: 旺角),粉嶺皇后山,swapped,1.000,0.667,0.833,
1000553,90,鴨脷洲邨,中環(交易廣場)(經利東),CTB-90-I,中環 (交易廣場),鴨脷洲邨,swapped,1.000,0.667,0.833,
1000692,702A,白田(北),海盈邨,CTB-702A-I,白田邨,海盈邨,forward,0.667,1.000,0.833,
1788,93C,鴨脷洲大街,堅道,CTB-93C-O,鴨脷洲大街／田灣,堅道,forward,0.714,1.000,0.857,
1000245,56,屯門 (菁田及和田),上水 (天平邨),CTB-56-I,上水 (天平邨),屯門 (和田及菁田),swapped,0.714,1.000,0.857,
1000284,56A,屯門 (菁田及和田),粉嶺皇后山(經上水站),CTB-56A-I,粉嶺皇后山 (經:上水站),屯門 (和田及菁田),swapped,0.714,1.000,0.857,
1641,90B,海怡半島,金鐘站(東),CTB-90B-I,金鐘 (東),海怡半島,swapped,1.000,0.750,0.875,
1661,967,天水圍(天恩邨),金鐘站(西),CTB-967-I,金鐘 (西),天水圍 (天恩邨),swapped,1.000,0.750,0.875,
1898,65,北角碼頭,赤柱市集,CTB-65-I,赤柱市場,北角碼頭,swapped,1.000,0.750,0.875,
8267,NA29,將軍澳(寶林),機場 / 港珠澳大橋香港口岸,CTB-NA29-I,機場 / 港珠澳大橋香港口岸,將軍澳 (寶琳),swapped,0.800,1.000,0.900,
8748,18,北角 (健康中街),堅尼地城 (卑路乍灣),CTB-18-I,堅尼地城 (卑路乍灣)／上環,北角 (健康中街),swapped,1.000,0.800,0.900,
8346,NA11,北角碼頭,港珠澳大橋香港口岸,CTB-NA11-I,機場 / 港珠澳大橋香港口岸,北角碼頭,swapped,1.000,0.818,0.909,
8474,NA12,杏花邨,港珠澳大橋香港口岸,CTB-NA12-I,機場 / 港珠澳大橋香港口岸,杏花邨,swapped,1.000,0.818,0.909,
8600,NA20,黃埔花園,港珠澳大橋香港口岸,CTB-NA20-I,機場 / 港珠澳大橋香港口岸,黃埔花園,swapped,1.000,0.818,0.909,
1000619,NA12,港珠澳大橋香港口岸,杏花邨,CTB-NA12-I,機場 / 港珠澳大橋香港口岸,杏花邨,forward,0.818,1.000,0.909,
1000693,47P,黃竹坑,堅尼地城,CTB-47P-O,堅尼地城,黃竹坑,swapped,1.000,1.000,1.000,
