route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
1000497,95C,鴨脷洲(利南道工業區),置富花園(循環線)(以鴨脷洲邨為終點),CTB-95C-I,置富花園,鴨脷洲邨 / 利南工業區,swapped,0.778,0.267,0.522,
1557,5B,摩星嶺,香港大球場,CTB-5B-I,銅鑼灣／香港大球場,摩星嶺／堅尼地城,swapped,0.429,0.625,0.527,
1750,12,中環(中環渡輪碼頭3號),羅便臣道/柏道(循環線),CTB-12-I,羅便臣道／柏道,中環3號碼頭,swapped,0.400,0.667,0.533,
1000278,76,黃竹坑站,銅鑼灣(邊寧頓街)(上課日加開班次),CTB-76-I,銅鑼灣 (邊寧頓街),黃竹坑站／石排灣,swapped,0.571,0.500,0.536,
1000609,H4,赤柱村 / 赤柱市集,香港摩天輪 / 中環碼頭 - 天星小輪,CTB-H4-O,赤柱村／赤柱市集,中環碼頭 -香港摩天輪 ．落日飛車,forward,1.000,0.077,0.538,
1000360,A25,啟德,機場(經尖沙咀及港珠澳大橋香港口岸),CTB-A25-I,機場 (經港珠澳大橋香港口岸),啟德 (經尖沙咀),swapped,0.333,0.750,0.542,
1000378,25,中環 (3 號碼頭),寶馬山(循環線)(經中環天星碼頭),CTB-25-I,寶馬山,中環 (3 / 5 號碼頭),swapped,0.857,0.231,0.544,
8476,973,赤柱,尖沙咀東(麼地道)(經深灣),CTB-973-I,赤柱市場,尖沙咀 (麼地道),forward,0.500,0.600,0.550,
8584,6,赤柱監獄,中環(交易廣場)(不經馬坑),CTB-6-I,赤柱市場,中環 (交易廣場),forward,0.500,0.600,0.550,
1000275,25,中環 (3 號碼頭),炮台山道,CTB-25-I,寶馬山,中環 (3 / 5 號碼頭),swapped,0.857,0.250,0.554,
1000236,973,尖沙咀東(麼地道),赤柱(經西九文化區),CTB-973-I,赤柱市場,尖沙咀 (麼地道),swapped,0.857,0.250,0.554,
1000339,B7,上水(寶運路),香園圍口岸,CTB-B7-I,香園圍口岸 (經粉嶺站),上水 (寶運路) (經粉嶺站),swapped,0.556,0.556,0.556,
1000340,B8,大圍站,香園圍口岸,CTB-B8-I,香園圍口岸 (經大埔),大圍站 (經大埔),swapped,0.500,0.625,0.563,
1000536,79,粉嶺皇后山,大圍站,CTB-79-I,大圍站 (經:大埔),粉嶺皇后山 (經:大埔),swapped,0.625,0.500,0.563,
1608,76,石排灣,銅鑼灣(邊寧頓街)(循環線),CTB-76-I,銅鑼灣 (邊寧頓街),黃竹坑站／石排灣,swapped,0.429,0.700,0.564,
8108,14,嘉亨灣,赤柱廣場 (循環線)(經赤柱村、赤柱炮台),CTB-14-I,赤柱炮台 (閘口)／馬坑,嘉亨灣,swapped,1.000,0.133,0.567,
1495,11,中環碼頭,渣甸山(循環線)(星期日及公眾假期班次，不經雪廠街),CTB-11-I,渣甸山,中環碼頭,swapped,1.000,0.143,0.571,
1000230,1M,會展站,黃泥涌峽(循環線),CTB-1M-I,跑馬地／黃泥涌峽,會展站,swapped,1.000,0.143,0.571,
1000500,582,白石角,西沙GO PARK(循環線),CTB-582-I,西沙GO PARK / 西沙灣,白石角 (經大學站),swapped,0.429,0.727,0.578,
1576,66,中環(交易廣場),馬坑邨,CTB-66-I,赤柱廣場 (馬坑),中環 (交易廣場),swapped,1.000,0.167,0.583,
1671,A10,鴨脷洲 (利樂街),機場(地面運輸中心),CTB-A10-I,機場 (經港珠澳大橋香港口岸),鴨脷洲 (利樂街),swapped,1.000,0.167,0.583,
1672,A11,北角碼頭,機場(地面運輸中心),CTB-A11-I,機場 (經港珠澳大橋香港口岸),北角碼頭,swapped,1.000,0.167,0.583,
1673,A21,紅磡站,機場(地面運輸中心),CTB-A21-I,機場 (經港珠澳大橋香港口岸),紅磡站,swapped,1.000,0.167,0.583,
