route_id,route_short_name,gtfs_from,gtfs_to,matched_key,kmb_origin_tc,kmb_destination_tc,orientation,sim_from,sim_to,avg,reason
1000341,B9,屯門站,香園圍口岸(蓮塘),KMB-B9-O-1,屯門站,香園圍 ‧ 蓮塘口岸,forward,1.000,0.429,0.714,
1000371,900,灣仔(會展),白石角(經大學站),KMB-900-O-1,白石角,灣仔(會展),swapped,1.000,0.429,0.714,
1000409,79K,打鼓嶺(松園下),粉嶺站,KMB-79K-O-2,粉嶺站,打鼓嶺 (蓮塘口岸),swapped,0.429,1.000,0.714,
1000443,79K,粉嶺站,打鼓嶺(松園下),KMB-79K-O-2,粉嶺站,打鼓嶺 (蓮塘口岸),forward,1.000,0.429,0.714,
1000446,A41,機場(地面運輸中心),碩門邨(經民航處),KMB-A41-O-1,碩門邨,機場(地面運輸中心),swapped,1.000,0.429,0.714,
1000539,273B,上水(清河),上水站(特別班次),KMB-273B-O-1,上水(清河),上水站(循環線),forward,1.000,0.429,0.714,
1000542,HK1,尖沙咀碼頭,"尖沙咀, 旺角及黃大仙(循環線)",KMB-HK1-O-1,尖沙咀碼頭,[九巴遊香港] 尖沙咀、旺角及黃大仙,forward,1.000,0.429,0.714,
1000505,B9A,元朗(西),香園圍口岸(蓮塘),KMB-B9A-O-1,元朗(西),香園圍 ‧ 蓮塘口岸,forward,1.000,0.429,0.714,
1000624,81K,穗禾苑,新田圍(經大圍站),KMB-81K-O-1,新田圍,穗禾苑,swapped,1.000,0.429,0.714,
1000697,A32,機場(地面運輸中心),葵涌邨(經博覽館),KMB-A32-O-1,葵涌邨,機場(地面運輸中心),swapped,1.000,0.429,0.714,
1450,S64P,翔東邨,機場(貨運及航膳區)(循環線)(經東涌發展碼頭),KMB-S64P-O-1,翔東邨,機場(貨運及航膳區),forward,1.000,0.444,0.722,
8210,299X,西貢,沙田市中心(經沙角尾),KMB-299X-O-1,沙田巿中心,西貢,swapped,1.000,0.444,0.722,
8549,3B,紅磡(紅鸞道),慈雲山(中)(不停正暉樓),KMB-3B-O-1,慈雲山(中),紅磡(紅鸞道),swapped,1.000,0.444,0.722,
8551,5C,尖沙咀碼頭,慈雲山(中)(不停正暉樓),KMB-5C-O-1,慈雲山(中),尖沙咀碼頭,swapped,1.000,0.444,0.722,
8640,A36,錦上路站,機場(地面運輸中心)(經國泰城及民航處總部),KMB-A36-O-1,錦上路站,機場(地面運輸中心),forward,1.000,0.444,0.722,
8657,73X,荃灣(如心廣場),大埔(富善)(經大埔中心),KMB-73X-O-1,荃灣(如心廣場),大埔(富善),forward,1.000,0.444,0.722,
8683,98A,牛頭角站,坑口(北) (將軍澳醫院)(夜間繁忙時間特別服務),KMB-98A-O-3,牛頭角站,坑口(北)(將軍澳醫院),forward,1.000,0.444,0.722,
1000408,78B,皇后山,上水(彩園)(不經粉嶺南),KMB-78B-O-1,皇后山,上水(彩園),forward,1.000,0.444,0.722,
8322,S64X,東涌(滿東),機場(循環線)(經機場博覽館),KMB-S64X-O-1,東涌(滿東),機場(循環線),forward,1.000,0.455,0.727,
8261,286X,顯徑,深水埗(循環線)(不經美田及美林),KMB-286X-O-1,顯徑,深水埗(循環線),forward,1.000,0.462,0.731,
1262,60X,屯門市中心,佐敦(西九龍站),KMB-60X-O-1,屯門巿中心,高鐵(西九龍站),forward,0.800,0.667,0.733,
1386,89C,恒安,觀塘(翠屏道),KMB-89C-O-1,恆安,觀塘(翠屏道),forward,0.500,1.000,0.750,
1310,72X,富蝶,旺角(柏景灣),KMB-72X-O-1,富蝶總站,旺角(柏景灣),forward,0.500,1.000,0.750,
